Time,X,Y,Z,Mag,Notes
17:19:20,0.519,0.287,0.368,0.699,
17:19:20,0.518,0.163,0.425,0.69,
17:19:20,0.519,0.123,0.424,0.682,
17:19:20,0.493,0.296,0.296,0.647,
17:19:20,0.498,0.096,0.414,0.654,
17:19:20,0.459,0.084,0.406,0.618,
17:19:20,0.474,0.029,0.403,0.623,
17:19:20,0.488,-0.008,0.407,0.635,
17:19:20,0.488,-0.046,0.406,0.636,
17:19:20,0.486,-0.073,0.406,0.637,
17:19:20,0.515,-0.087,0.397,0.656,
17:19:20,0.527,-0.084,0.394,0.664,
17:19:20,0.509,-0.085,0.395,0.65,
17:19:20,0.516,-0.116,0.403,0.665,
17:19:20,0.551,-0.16,0.415,0.708,
17:19:20,0.537,-0.182,0.412,0.701,
17:19:20,0.518,-0.188,0.4,0.681,
17:19:20,0.532,-0.164,0.372,0.67,
17:19:20,0.51,-0.117,0.337,0.622,
17:19:21,0.494,-0.087,0.308,0.588,
17:19:21,0.499,-0.052,0.281,0.575,
17:19:21,0.483,-0.038,0.269,0.555,
17:19:21,0.501,-0.054,0.27,0.572,
17:19:21,0.493,-0.058,0.271,0.566,
17:19:21,0.469,-0.074,0.269,0.546,
17:19:21,0.446,-0.087,0.275,0.531,
17:19:21,0.417,-0.089,0.277,0.509,
17:19:21,0.395,-0.095,0.275,0.491,
17:19:21,0.352,-0.086,0.268,0.45,
17:19:21,0.353,-0.086,0.265,0.449,
17:19:21,0.337,-0.099,0.265,0.44,
17:19:21,0.312,-0.101,0.258,0.417,
17:19:21,0.314,-0.108,0.256,0.419,
17:19:21,0.298,-0.114,0.244,0.402,
17:19:21,0.335,-0.143,0.314,0.481,
17:19:21,0.171,-0.145,0.14,0.265,
17:19:21,-0.065,-0.057,0.106,0.136,
17:19:21,0.07,-0.192,0.084,0.221,
17:19:21,0.147,-0.137,0.128,0.239,
17:19:21,0.264,-0.205,0.203,0.391,
17:19:21,0.348,-0.186,0.221,0.452,
17:19:21,0.303,-0.135,0.219,0.397,
17:19:21,0.305,-0.105,0.219,0.389,
17:19:21,0.306,-0.074,0.214,0.38,
17:19:21,0.269,-0.062,0.218,0.351,
17:19:21,0.286,-0.066,0.225,0.37,
17:19:21,0.314,-0.059,0.225,0.391,
17:19:21,0.326,-0.061,0.242,0.411,
17:19:21,0.372,-0.085,0.252,0.458,
17:19:21,0.414,-0.089,0.261,0.497,
17:19:21,0.416,-0.073,0.288,0.511,
17:19:21,0.426,-0.037,0.306,0.526,
17:19:21,0.426,-0.011,0.32,0.533,
17:19:21,0.429,-0.011,0.339,0.547,
17:19:21,0.47,-0.04,0.352,0.589,
17:19:21,0.474,-0.059,0.359,0.598,
17:19:21,0.491,-0.061,0.363,0.613,
17:19:21,0.492,-0.061,0.362,0.614,
17:19:21,0.46,-0.053,0.341,0.575,
17:19:21,0.463,-0.014,0.321,0.563,
17:19:21,0.43,0.04,0.303,0.528,
17:19:21,0.432,0.049,0.304,0.531,
17:19:21,0.466,0.018,0.308,0.559,
17:19:21,0.495,-0.019,0.342,0.602,
17:19:21,0.53,-0.057,0.373,0.651,
17:19:21,0.498,-0.069,0.391,0.637,
17:19:21,0.47,-0.059,0.387,0.612,
17:19:21,0.421,0.039,0.354,0.552,
17:19:21,0.424,0.042,0.342,0.547,
17:19:21,0.451,0.04,0.34,0.566,
17:19:21,0.461,0.038,0.351,0.58,
17:19:21,0.475,0.023,0.37,0.603,
17:19:21,0.504,0.011,0.377,0.629,
17:19:21,0.511,0.016,0.368,0.629,
17:19:21,0.507,0.033,0.348,0.616,
17:19:21,0.486,0.061,0.322,0.586,
17:19:21,0.485,0.091,0.3,0.578,
17:19:21,0.468,0.116,0.292,0.564,
17:19:21,0.488,0.122,0.298,0.585,
17:19:21,0.536,0.113,0.313,0.631,
17:19:21,0.554,0.1,0.324,0.649,
17:19:21,0.558,0.095,0.326,0.653,
17:19:21,0.533,0.085,0.323,0.629,
17:19:21,0.5,0.084,0.313,0.596,
17:19:21,0.496,0.085,0.297,0.584,
17:19:21,0.469,0.087,0.302,0.565,
17:19:21,0.461,0.073,0.301,0.555,
17:19:21,0.444,0.068,0.298,0.539,
17:19:21,0.449,0.055,0.304,0.545,
17:19:21,0.441,0.035,0.303,0.536,
17:19:21,0.382,0.028,0.29,0.481,
17:19:21,0.37,0.018,0.28,0.465,
17:19:21,0.351,0.013,0.267,0.441,
17:19:21,0.333,0.006,0.264,0.425,
17:19:21,0.332,-0.004,0.262,0.423,
17:19:21,0.323,-0.008,0.258,0.414,
17:19:21,0.326,-0.02,0.266,0.421,
17:19:21,0.171,-0.108,0.089,0.221,
17:19:21,-0.275,0.096,0.153,0.329,
17:19:21,0.453,-0.179,0.277,0.56,
17:19:21,0.238,-0.056,0.136,0.28,
17:19:21,0.082,-0.107,0.201,0.242,
17:19:21,0.375,-0.167,0.185,0.45,
17:19:21,0.314,-0.152,0.201,0.402,
17:19:21,0.28,-0.136,0.21,0.376,
17:19:21,0.26,-0.104,0.216,0.353,
17:19:21,0.245,-0.08,0.228,0.344,
17:19:21,0.217,-0.056,0.247,0.333,
17:19:21,0.259,-0.05,0.267,0.375,
17:19:21,0.297,-0.029,0.29,0.416,
17:19:21,0.317,-0.018,0.329,0.457,
17:19:21,0.397,-0.029,0.358,0.535,
17:19:21,0.461,-0.027,0.361,0.586,
17:19:21,0.467,-0.016,0.349,0.584,
17:19:21,0.473,-0.012,0.324,0.574,
17:19:21,0.49,0.017,0.285,0.567,
17:19:21,0.478,0.065,0.256,0.546,
17:19:21,0.454,0.117,0.25,0.531,
17:19:21,0.467,0.184,0.252,0.562,
17:19:21,0.457,0.201,0.252,0.559,
17:19:21,0.46,0.224,0.265,0.576,
17:19:21,0.544,0.22,0.284,0.652,
17:19:21,0.596,0.192,0.261,0.678,
17:19:21,0.589,0.198,0.252,0.67,
17:19:21,0.632,0.216,0.218,0.702,
17:19:21,0.584,0.241,0.182,0.658,
17:19:21,0.556,0.275,0.162,0.641,
17:19:22,0.515,0.294,0.174,0.618,
17:19:22,0.494,0.294,0.179,0.602,
17:19:22,0.515,0.279,0.214,0.623,
17:19:22,0.568,0.235,0.249,0.664,
17:19:22,0.631,0.189,0.277,0.715,
17:19:22,0.674,0.169,0.311,0.761,
17:19:22,0.688,0.148,0.352,0.787,
17:19:22,0.676,0.108,0.349,0.768,
17:19:22,0.628,0.091,0.361,0.73,
17:19:22,0.614,0.058,0.357,0.713,
17:19:22,0.595,0.008,0.328,0.679,
17:19:22,0.545,-0.047,0.329,0.638,
17:19:22,0.533,-0.12,0.353,0.65,
17:19:22,0.531,-0.163,0.368,0.666,
17:19:22,0.517,-0.222,0.398,0.69,
17:19:22,0.519,-0.308,0.411,0.73,
17:19:22,0.476,-0.351,0.411,0.72,
17:19:22,0.438,-0.395,0.406,0.716,
17:19:22,0.395,-0.42,0.372,0.687,
17:19:22,0.297,-0.407,0.35,0.613,
17:19:22,0.258,-0.412,0.329,0.587,
17:19:22,0.255,-0.419,0.285,0.568,
17:19:22,0.227,-0.411,0.262,0.537,
