Time,X,Y,Z,Mag,Notes
18:36:46,-0.011,0.031,-0.491,0.492,
18:36:46,-0.011,0.034,-0.485,0.486,
18:36:46,-0.01,0.036,-0.48,0.482,
18:36:46,-0.01,0.032,-0.488,0.489,
18:36:46,-0.012,0.04,-0.488,0.49,
18:36:46,-0.011,0.041,-0.497,0.499,
18:36:46,-0.012,0.038,-0.494,0.496,
18:36:46,-0.012,0.035,-0.485,0.487,
18:36:46,-0.01,0.032,-0.483,0.484,
18:36:46,-0.01,0.035,-0.488,0.489,
18:36:46,-0.01,0.037,-0.49,0.492,
18:36:46,-0.01,0.038,-0.487,0.489,
18:36:46,-0.009,0.032,-0.482,0.483,
18:36:46,-0.01,0.026,-0.482,0.483,
18:36:46,-0.01,0.045,-0.504,0.506,
18:36:46,-0.01,0.063,-0.502,0.506,
18:36:46,-0.004,0.066,-0.478,0.483,
18:36:46,-0.015,0.017,-0.48,0.481,
18:36:46,-0.004,0.052,-0.491,0.494,
18:36:46,-0.012,0.029,-0.483,0.484,
18:36:46,-0.008,0.049,-0.495,0.497,
18:36:46,-0.008,0.061,-0.489,0.493,
18:36:46,-0.007,0.046,-0.496,0.498,
18:36:46,-0.006,0.055,-0.503,0.506,
18:36:46,0.0,0.068,-0.477,0.482,
18:36:46,0.003,0.053,-0.481,0.484,
18:36:46,0.0,0.06,-0.491,0.495,
18:36:46,-0.003,0.076,-0.492,0.498,
18:36:46,-0.008,0.052,-0.504,0.506,
18:36:46,-0.023,0.055,-0.532,0.535,
18:36:46,-0.015,0.041,-0.503,0.505,
18:36:46,-0.004,0.001,-0.488,0.488,
18:36:46,-0.014,0.021,-0.53,0.531,
18:36:46,-0.006,0.048,-0.538,0.54,
18:36:46,-0.014,0.052,-0.545,0.548,
18:36:46,-0.02,0.051,-0.534,0.537,
18:36:46,-0.025,0.039,-0.506,0.508,
18:36:46,-0.026,0.031,-0.507,0.508,
18:36:46,-0.025,0.057,-0.521,0.525,
18:36:46,-0.024,0.078,-0.534,0.54,
18:36:46,-0.018,0.058,-0.532,0.536,
18:36:46,-0.027,0.05,-0.529,0.532,
18:36:46,-0.041,0.059,-0.525,0.53,
18:36:46,-0.056,0.061,-0.495,0.502,
18:36:46,-0.025,0.035,-0.483,0.485,
18:36:46,-0.036,0.059,-0.474,0.479,
18:36:46,-0.033,0.083,-0.469,0.478,
18:36:46,-0.028,0.094,-0.47,0.481,
18:36:46,-0.032,0.11,-0.473,0.487,
18:36:46,-0.041,0.104,-0.478,0.491,
18:36:46,-0.052,0.074,-0.437,0.446,
18:36:46,-0.053,0.05,-0.425,0.432,
18:36:46,-0.05,0.051,-0.474,0.48,
18:36:46,-0.052,0.073,-0.518,0.526,
18:36:46,-0.057,0.105,-0.538,0.551,
18:36:46,-0.063,0.105,-0.54,0.554,
18:36:46,-0.057,0.074,-0.505,0.513,
18:36:46,-0.058,0.074,-0.492,0.501,
18:36:46,-0.072,0.088,-0.467,0.481,
18:36:46,-0.057,0.076,-0.449,0.459,
18:36:46,-0.029,0.033,-0.449,0.451,
18:36:46,-0.052,0.036,-0.465,0.47,
18:36:46,-0.073,0.052,-0.484,0.492,
18:36:46,-0.075,0.046,-0.478,0.486,
18:36:46,-0.086,0.048,-0.465,0.475,
18:36:46,-0.082,0.062,-0.459,0.47,
18:36:46,-0.051,0.063,-0.451,0.458,
18:36:46,-0.052,0.064,-0.453,0.46,
18:36:46,-0.043,0.028,-0.446,0.449,
18:36:46,-0.041,0.014,-0.409,0.411,
18:36:46,-0.045,0.027,-0.384,0.388,
18:36:46,-0.072,0.086,-0.413,0.428,
18:36:46,-0.072,0.12,-0.431,0.453,
18:36:46,-0.066,0.142,-0.448,0.474,
18:36:46,-0.061,0.153,-0.45,0.479,
18:36:46,-0.064,0.156,-0.429,0.461,
18:36:46,-0.03,0.15,-0.384,0.414,
18:36:46,-0.055,0.177,-0.417,0.457,
18:36:46,-0.067,0.148,-0.457,0.485,
18:36:46,-0.043,0.136,-0.45,0.472,
18:36:46,-0.005,0.163,-0.446,0.475,
18:36:46,-0.019,0.191,-0.486,0.523,
18:36:46,-0.05,0.192,-0.515,0.552,
18:36:46,-0.046,0.197,-0.474,0.516,
18:36:46,-0.054,0.211,-0.474,0.522,
18:36:46,-0.05,0.223,-0.469,0.522,
18:36:46,-0.024,0.228,-0.465,0.518,
18:36:46,0.002,0.228,-0.453,0.507,
18:36:46,-0.03,0.238,-0.438,0.5,
18:36:46,-0.048,0.25,-0.423,0.494,
18:36:46,-0.022,0.238,-0.431,0.493,
18:36:46,-0.013,0.234,-0.443,0.501,
18:36:46,-0.012,0.236,-0.449,0.507,
18:36:47,-0.005,0.235,-0.455,0.512,
18:36:47,-0.019,0.233,-0.475,0.53,
18:36:47,-0.045,0.153,-0.784,0.8,
18:36:47,-0.022,0.105,-0.694,0.702,
18:36:47,0.007,0.133,-0.494,0.512,
18:36:47,-0.013,0.199,-0.417,0.462,
18:36:47,-0.02,0.206,-0.418,0.467,
18:36:47,-0.009,0.171,-0.42,0.454,
18:36:47,-0.005,0.136,-0.431,0.452,
18:36:47,-0.018,0.124,-0.445,0.462,
18:36:47,-0.022,0.125,-0.449,0.467,
18:36:47,-0.031,0.143,-0.435,0.459,
18:36:47,-0.056,0.178,-0.417,0.457,
18:36:47,-0.065,0.219,-0.465,0.518,
18:36:47,-0.071,0.238,-0.477,0.538,
18:36:47,-0.072,0.164,-0.467,0.5,
18:36:47,-0.08,0.099,-0.479,0.496,
18:36:47,-0.1,0.056,-0.487,0.5,
18:36:47,-0.112,0.031,-0.508,0.521,
18:36:47,-0.119,0.035,-0.526,0.541,
18:36:47,-0.127,0.013,-0.505,0.521,
18:36:47,-0.137,-0.022,-0.471,0.491,
18:36:47,-0.114,-0.035,-0.454,0.469,
18:36:47,-0.107,-0.023,-0.452,0.465,
18:36:47,-0.118,-0.017,-0.458,0.473,
18:36:47,-0.125,-0.024,-0.492,0.508,
18:36:47,-0.126,-0.039,-0.51,0.527,
