Time,X,Y,Z,Mag,Notes
05:39:12.594,-0.012,0.011,-0.493,0.493,
05:39:12.605,-0.012,0.011,-0.493,0.493,
05:39:12.614,-0.012,0.013,-0.493,0.493,
05:39:12.625,-0.012,0.012,-0.494,0.494,
05:39:12.635,-0.012,0.012,-0.493,0.493,
05:39:12.645,-0.012,0.013,-0.493,0.493,
05:39:12.655,-0.012,0.012,-0.494,0.494,
05:39:12.665,-0.012,0.012,-0.494,0.494,
05:39:12.675,-0.012,0.012,-0.494,0.494,
05:39:12.684,-0.012,0.012,-0.493,0.493,
05:39:12.695,-0.012,0.012,-0.493,0.493,
05:39:12.705,-0.011,0.011,-0.493,0.493,
05:39:12.715,-0.011,0.012,-0.493,0.493,
05:39:12.725,-0.011,0.012,-0.493,0.493,
05:39:12.735,-0.012,0.012,-0.493,0.493,
05:39:12.745,-0.011,0.012,-0.494,0.494,
05:39:12.756,-0.012,0.012,-0.493,0.493,
05:39:12.765,-0.012,0.012,-0.493,0.493,
05:39:12.775,-0.011,0.012,-0.494,0.494,
05:39:12.785,-0.011,0.012,-0.493,0.493,
05:39:12.828,-0.012,0.012,-0.493,0.493,
05:39:12.832,-0.012,0.012,-0.493,0.493,
05:39:12.834,-0.012,0.012,-0.493,0.493,
05:39:12.834,-0.012,0.011,-0.493,0.493,
05:39:12.835,-0.012,0.012,-0.493,0.493,
05:39:12.849,-0.012,0.012,-0.492,0.492,
05:39:12.856,-0.012,0.013,-0.493,0.493,
05:39:12.865,-0.011,0.012,-0.493,0.493,
05:39:12.875,-0.011,0.011,-0.493,0.493,
05:39:12.885,-0.011,0.012,-0.493,0.493,
05:39:12.896,-0.012,0.012,-0.493,0.493,
05:39:12.905,-0.012,0.012,-0.493,0.493,
05:39:12.915,-0.012,0.012,-0.494,0.494,
05:39:12.925,-0.012,0.013,-0.493,0.493,
05:39:12.935,-0.012,0.011,-0.493,0.493,
05:39:12.945,-0.012,0.012,-0.493,0.493,
05:39:12.955,-0.012,0.013,-0.493,0.493,
05:39:12.965,-0.011,0.012,-0.492,0.492,
05:39:12.975,-0.011,0.012,-0.493,0.493,
05:39:12.985,-0.011,0.012,-0.493,0.493,
05:39:12.994,-0.012,0.012,-0.493,0.493,
05:39:13.005,-0.012,0.012,-0.494,0.494,
05:39:13.014,-0.012,0.012,-0.493,0.493,
05:39:13.024,-0.012,0.012,-0.493,0.493,
05:39:13.034,-0.011,0.012,-0.493,0.493,
05:39:13.044,-0.012,0.012,-0.493,0.493,
05:39:13.054,-0.012,0.012,-0.493,0.493,
05:39:13.065,-0.011,0.011,-0.493,0.493,
05:39:13.075,-0.011,0.012,-0.493,0.493,
05:39:13.085,-0.011,0.012,-0.493,0.493,
05:39:13.094,-0.012,0.013,-0.494,0.494,
05:39:13.105,-0.012,0.012,-0.493,0.493,
05:39:13.115,-0.011,0.013,-0.493,0.493,
05:39:13.125,-0.012,0.012,-0.493,0.493,
05:39:13.134,-0.012,0.012,-0.494,0.494,
05:39:13.144,-0.011,0.011,-0.492,0.492,
05:39:13.155,-0.012,0.012,-0.493,0.493,
05:39:13.165,-0.011,0.012,-0.493,0.493,
05:39:13.175,-0.012,0.012,-0.493,0.493,
05:39:13.185,-0.012,0.012,-0.493,0.493,
05:39:13.195,-0.011,0.012,-0.493,0.493,
05:39:13.205,-0.011,0.011,-0.493,0.493,
05:39:13.215,-0.012,0.012,-0.493,0.493,
05:39:13.225,-0.011,0.012,-0.492,0.492,
05:39:13.235,-0.012,0.012,-0.493,0.493,
05:39:13.245,-0.011,0.012,-0.493,0.493,
05:39:13.255,-0.012,0.012,-0.493,0.493,
05:39:13.265,-0.012,0.012,-0.493,0.493,
05:39:13.275,-0.012,0.012,-0.493,0.493,
05:39:13.285,-0.012,0.012,-0.493,0.493,
05:39:13.294,-0.012,0.011,-0.493,0.493,
05:39:13.305,-0.012,0.012,-0.493,0.493,
05:39:13.315,-0.011,0.012,-0.494,0.494,
05:39:13.325,-0.012,0.012,-0.494,0.494,
05:39:13.335,-0.012,0.012,-0.494,0.494,
05:39:13.344,-0.011,0.012,-0.493,0.493,
05:39:13.355,-0.012,0.012,-0.492,0.492,
05:39:13.364,-0.012,0.011,-0.493,0.493,
05:39:13.374,-0.012,0.012,-0.493,0.493,
05:39:13.384,-0.011,0.012,-0.492,0.492,
05:39:13.394,-0.011,0.012,-0.493,0.493,
05:39:13.404,-0.012,0.012,-0.493,0.493,
05:39:13.415,-0.012,0.011,-0.493,0.493,
05:39:13.425,-0.012,0.012,-0.493,0.493,
05:39:13.435,-0.012,0.013,-0.493,0.493,
05:39:13.445,-0.012,0.013,-0.493,0.493,
05:39:13.455,-0.011,0.013,-0.492,0.492,
05:39:13.465,-0.012,0.012,-0.493,0.493,
05:39:13.475,-0.012,0.012,-0.493,0.493,
05:39:13.485,-0.012,0.012,-0.493,0.493,
05:39:13.495,-0.012,0.011,-0.492,0.492,
05:39:13.506,-0.011,0.012,-0.492,0.492,
05:39:13.515,-0.012,0.012,-0.493,0.493,
05:39:13.525,-0.011,0.012,-0.493,0.493,
05:39:13.535,-0.012,0.013,-0.493,0.493,
05:39:13.545,-0.012,0.012,-0.493,0.493,
05:39:13.555,-0.012,0.012,-0.494,0.494,
05:39:13.565,-0.012,0.012,-0.493,0.493,
05:39:13.575,-0.012,0.012,-0.492,0.492,
