Time,X,Y,Z,Mag,Notes
16:56:40,-0.043,-0.427,0.25,0.497,
16:56:40,-0.037,-0.426,0.253,0.497,
16:56:40,-0.035,-0.425,0.252,0.496,
16:56:40,-0.039,-0.423,0.25,0.493,
16:56:40,-0.055,-0.428,0.249,0.498,
16:56:40,-0.048,-0.428,0.248,0.497,
16:56:40,-0.048,-0.419,0.247,0.489,
16:56:40,-0.053,-0.418,0.244,0.487,
16:56:40,-0.05,-0.419,0.239,0.485,
16:56:40,-0.037,-0.417,0.249,0.487,
16:56:40,-0.036,-0.405,0.251,0.478,
16:56:40,-0.058,-0.401,0.246,0.474,
16:56:40,-0.052,-0.404,0.241,0.473,
16:56:40,-0.03,-0.41,0.228,0.47,
16:56:40,-0.024,-0.415,0.216,0.468,
16:56:40,-0.031,-0.417,0.203,0.464,
16:56:40,-0.035,-0.419,0.199,0.466,
16:56:40,-0.03,-0.422,0.198,0.467,
16:56:40,-0.023,-0.425,0.196,0.469,
16:56:40,-0.021,-0.429,0.203,0.475,
16:56:40,-0.027,-0.435,0.213,0.485,
16:56:40,-0.028,-0.436,0.242,0.5,
16:56:40,-0.021,-0.436,0.247,0.502,
16:56:41,-0.023,-0.44,0.256,0.509,
16:56:41,-0.026,-0.441,0.268,0.516,
16:56:41,-0.037,-0.445,0.272,0.523,
16:56:41,-0.046,-0.447,0.273,0.526,
16:56:41,-0.052,-0.448,0.28,0.531,
16:56:41,-0.05,-0.446,0.281,0.53,
16:56:41,-0.04,-0.441,0.279,0.524,
16:56:41,-0.031,-0.433,0.281,0.517,
16:56:41,-0.028,-0.427,0.279,0.511,
16:56:41,-0.034,-0.421,0.267,0.5,
16:56:41,-0.038,-0.417,0.255,0.491,
16:56:41,-0.041,-0.412,0.244,0.48,
16:56:41,-0.027,-0.406,0.231,0.468,
16:56:41,-0.022,-0.409,0.228,0.469,
16:56:41,-0.024,-0.411,0.224,0.469,
16:56:41,-0.027,-0.413,0.224,0.47,
16:56:41,-0.025,-0.414,0.23,0.474,
16:56:41,-0.023,-0.417,0.238,0.48,
16:56:41,-0.024,-0.421,0.244,0.488,
16:56:41,-0.024,-0.423,0.247,0.491,
16:56:41,-0.02,-0.425,0.248,0.493,
16:56:41,-0.015,-0.427,0.249,0.495,
16:56:41,-0.015,-0.426,0.253,0.496,
16:56:41,-0.022,-0.425,0.249,0.493,
16:56:41,-0.027,-0.425,0.248,0.493,
16:56:41,-0.029,-0.424,0.245,0.491,
16:56:41,-0.033,-0.421,0.242,0.487,
16:56:41,-0.036,-0.417,0.241,0.483,
16:56:41,-0.034,-0.415,0.238,0.479,
16:56:41,-0.03,-0.415,0.242,0.481,
16:56:41,-0.024,-0.417,0.244,0.484,
16:56:41,-0.023,-0.421,0.243,0.487,
16:56:41,-0.027,-0.423,0.243,0.489,
16:56:41,-0.032,-0.425,0.243,0.491,
16:56:41,-0.037,-0.429,0.242,0.494,
16:56:41,-0.042,-0.434,0.242,0.499,
16:56:41,-0.04,-0.433,0.243,0.498,
16:56:41,-0.03,-0.433,0.243,0.498,
16:56:41,-0.024,-0.434,0.241,0.497,
16:56:41,-0.025,-0.435,0.241,0.498,
