Time,X,Y,Z,Mag,Notes
17:04:22,0.485,0.139,0.456,0.68,
17:04:22,0.485,0.118,0.478,0.691,
17:04:22,0.412,0.155,0.46,0.636,
17:04:22,0.45,0.143,0.466,0.664,
17:04:22,0.471,0.128,0.454,0.667,
17:04:22,0.51,0.098,0.493,0.716,
17:04:22,0.489,0.071,0.493,0.698,
17:04:22,0.488,0.043,0.515,0.71,
17:04:22,0.539,0.006,0.519,0.749,
17:04:22,0.524,-0.032,0.535,0.75,
17:04:22,0.524,-0.049,0.535,0.751,
17:04:23,0.551,-0.058,0.519,0.759,
17:04:23,0.502,-0.046,0.512,0.718,
17:04:23,0.458,0.001,0.479,0.663,
17:04:23,0.46,-0.018,0.465,0.654,
17:04:23,0.486,-0.093,0.46,0.675,
17:04:23,0.477,-0.155,0.468,0.686,
17:04:23,0.486,-0.209,0.483,0.716,
17:04:23,0.508,-0.222,0.475,0.73,
17:04:23,0.473,-0.196,0.466,0.693,
17:04:23,0.45,-0.172,0.444,0.655,
17:04:23,0.428,-0.256,0.417,0.65,
17:04:23,0.384,-0.268,0.411,0.623,
17:04:23,0.364,-0.285,0.402,0.612,
17:04:23,0.344,-0.307,0.384,0.6,
17:04:23,0.306,-0.328,0.362,0.576,
17:04:23,0.288,-0.353,0.348,0.573,
17:04:23,0.252,-0.358,0.346,0.558,
17:04:23,0.229,-0.373,0.334,0.551,
17:04:23,0.226,-0.369,0.328,0.544,
17:04:23,0.244,-0.371,0.326,0.551,
17:04:23,0.265,-0.363,0.301,0.54,
17:04:23,0.252,-0.328,0.275,0.497,
17:04:23,0.231,-0.276,0.247,0.437,
17:04:23,0.213,-0.206,0.229,0.374,
17:04:23,0.208,-0.182,0.352,0.447,
17:04:23,-0.132,-0.108,0.066,0.183,
17:04:23,0.245,-0.201,-0.006,0.317,
17:04:23,0.119,-0.153,0.067,0.205,
17:04:23,0.088,-0.205,0.129,0.258,
17:04:23,0.184,-0.168,0.146,0.289,
17:04:23,0.202,-0.13,0.18,0.3,
17:04:23,0.196,-0.117,0.197,0.301,
17:04:23,0.145,-0.075,0.209,0.265,
17:04:23,0.176,-0.081,0.235,0.305,
17:04:23,0.218,-0.127,0.251,0.356,
17:04:23,0.227,-0.157,0.28,0.393,
17:04:23,0.253,-0.188,0.338,0.462,
17:04:23,0.293,-0.202,0.397,0.533,
17:04:23,0.292,-0.181,0.471,0.583,
17:04:23,0.292,-0.129,0.537,0.625,
17:04:23,0.316,-0.024,0.56,0.643,
17:04:23,0.287,0.061,0.49,0.571,
17:04:23,0.318,0.027,0.457,0.557,
17:04:23,0.32,-0.004,0.45,0.552,
17:04:23,0.296,-0.049,0.493,0.577,
17:04:23,0.327,-0.08,0.544,0.64,
17:04:23,0.324,-0.09,0.58,0.671,
17:04:23,0.319,-0.044,0.6,0.681,
17:04:23,0.36,0.027,0.586,0.688,
17:04:23,0.369,0.068,0.552,0.667,
17:04:23,0.41,0.093,0.511,0.661,
17:04:23,0.415,0.065,0.501,0.653,
17:04:23,0.413,0.029,0.503,0.651,
17:04:23,0.389,0.013,0.52,0.65,
17:04:23,0.325,-0.01,0.545,0.635,
17:04:23,0.303,-0.011,0.558,0.635,
17:04:23,0.273,-0.024,0.57,0.633,
17:04:23,0.285,-0.005,0.552,0.621,
17:04:23,0.349,0.065,0.502,0.615,
17:04:23,0.395,0.077,0.467,0.617,
17:04:23,0.438,0.108,0.42,0.617,
17:04:23,0.453,0.135,0.4,0.619,
17:04:23,0.456,0.129,0.421,0.634,
17:04:23,0.458,0.137,0.444,0.652,
17:04:23,0.424,0.155,0.46,0.644,
17:04:23,0.391,0.155,0.501,0.654,
17:04:23,0.395,0.182,0.511,0.671,
17:04:23,0.407,0.216,0.51,0.687,
17:04:23,0.425,0.218,0.502,0.693,
17:04:23,0.448,0.212,0.489,0.696,
17:04:23,0.455,0.186,0.494,0.697,
17:04:23,0.428,0.163,0.493,0.673,
17:04:23,0.358,0.102,0.508,0.629,
17:04:23,0.343,0.07,0.508,0.617,
17:04:23,0.335,0.044,0.504,0.607,
17:04:23,0.345,0.023,0.482,0.593,
17:04:23,0.333,0.01,0.456,0.565,
17:04:23,0.319,-0.005,0.415,0.523,
17:04:23,0.282,-0.02,0.386,0.479,
17:04:23,0.269,-0.037,0.359,0.45,
17:04:23,0.245,-0.071,0.335,0.421,
17:04:23,0.21,-0.101,0.327,0.402,
17:04:23,0.2,-0.113,0.322,0.396,
17:04:23,0.135,-0.09,0.364,0.398,
17:04:23,0.061,-0.249,0.19,0.319,
17:04:23,-0.256,-0.08,0.131,0.299,
17:04:23,-0.086,-0.128,0.24,0.286,
17:04:23,0.02,-0.208,0.193,0.284,
17:04:23,-0.012,-0.154,0.272,0.313,
17:04:23,0.17,-0.147,0.359,0.423,
17:04:23,0.273,-0.129,0.382,0.487,
17:04:23,0.242,-0.11,0.379,0.463,
17:04:23,0.235,-0.089,0.368,0.445,
17:04:23,0.254,-0.081,0.36,0.448,
17:04:24,0.165,-0.074,0.365,0.407,
17:04:24,0.124,-0.045,0.374,0.397,
17:04:24,0.155,-0.022,0.38,0.411,
17:04:24,0.18,0.024,0.384,0.425,
17:04:24,0.308,0.159,0.35,0.492,
17:04:24,0.302,0.256,0.333,0.517,
17:04:24,0.267,0.35,0.325,0.547,
17:04:24,0.376,0.391,0.293,0.617,
17:04:24,0.385,0.424,0.242,0.622,
17:04:24,0.35,0.424,0.228,0.595,
17:04:24,0.418,0.398,0.26,0.633,
17:04:24,0.429,0.393,0.312,0.66,
17:04:24,0.42,0.385,0.424,0.711,
17:04:24,0.457,0.362,0.553,0.803,
17:04:24,0.455,0.345,0.647,0.863,
17:04:24,0.393,0.324,0.69,0.858,
17:04:24,0.372,0.301,0.665,0.82,
17:04:24,0.371,0.255,0.656,0.795,
